,datetime,temperature,x_axix,y_axix,z_axix
41,2021-10-09 10:39:59,96.28,5.43,-1.09,-7.61
42,2021-10-09 10:40:01,96.24,5.64,-1.02,-7.59
43,2021-10-09 10:40:03,96.82,5.23,-1.08,-7.45
44,2021-10-09 10:40:05,96.75,5.65,-0.26,-7.91
45,2021-10-09 10:40:07,96.93,6.61,-1.2,-7.49
46,2021-10-09 10:40:11,96.67,7.25,-1.29,-6.72
47,2021-10-09 10:40:13,96.28,7.2,-1.45,-5.84
48,2021-10-09 10:40:20,96.24,5.54,-1.43,-7.23
49,2021-10-09 10:40:20,96.64,5.45,-1.01,-7.62
50,2021-10-09 10:40:20,95.95,6.0,-1.4,-6.11
51,2021-10-09 10:40:21,96.64,5.25,-1.15,-7.74
52,2021-10-09 10:40:23,96.46,5.43,-1.1,-8.04
53,2021-10-09 10:40:25,96.96,5.45,-0.95,-7.85
54,2021-10-09 10:40:29,97.21,5.57,-1.01,-7.64
55,2021-10-09 10:40:32,96.93,5.35,-1.11,-7.69
56,2021-10-09 10:40:34,97.07,5.69,-1.2,-7.79
57,2021-10-09 10:40:36,96.96,6.14,-1.1,-7.69
58,2021-10-09 10:40:38,97.07,6.97,-0.66,-7.0
59,2021-10-09 10:40:40,96.75,6.9,-0.73,-6.63
60,2021-10-09 10:40:41,96.64,6.89,-0.77,-6.51
61,2021-10-09 10:40:43,96.67,6.97,-0.84,-6.46
62,2021-10-09 10:40:45,96.67,6.95,-0.7,-6.41
63,2021-10-09 10:40:47,96.75,6.91,-0.85,-6.48
64,2021-10-09 10:40:49,96.46,6.95,-0.83,-6.35
65,2021-10-09 10:40:54,96.75,6.67,-0.79,-6.29
66,2021-10-09 10:40:55,96.82,5.84,-0.95,-6.64
67,2021-10-09 10:40:57,96.75,5.79,-0.75,-7.33
68,2021-10-09 10:40:59,96.89,5.62,-1.01,-7.39
69,2021-10-09 10:41:02,97.21,5.75,-1.12,-7.49
70,2021-10-09 10:41:04,97.25,5.92,-1.12,-7.44
71,2021-10-09 10:41:06,97.25,5.37,-1.04,-7.35
72,2021-10-09 10:41:07,97.36,5.51,-1.27,-7.7
73,2021-10-09 10:41:09,97.39,5.54,-1.39,-7.6
74,2021-10-09 10:41:11,97.21,5.59,-1.26,-7.59
75,2021-10-09 10:41:13,96.67,6.21,-1.41,-7.52
76,2021-10-09 10:41:15,97.39,6.8,-1.39,-7.13
77,2021-10-09 10:41:17,95.99,6.68,-1.31,-6.51
78,2021-10-09 10:41:19,96.64,6.56,-1.42,-6.6
79,2021-10-09 10:41:20,97.03,6.31,-1.29,-6.68
80,2021-10-09 10:41:22,96.78,6.41,-1.19,-7.06
81,2021-10-09 10:41:24,97.21,6.22,-1.13,-6.9
82,2021-10-09 10:41:26,97.18,6.65,-1.24,-6.99
83,2021-10-09 10:41:28,97.25,6.74,-1.1,-6.83
84,2021-10-09 10:41:31,97.36,6.61,-1.16,-6.66
85,2021-10-09 10:41:35,97.11,6.15,-1.1,-6.54
86,2021-10-09 10:41:37,97.21,5.86,-0.77,-7.42
87,2021-10-09 10:41:39,96.82,5.8,-0.93,-7.47
88,2021-10-09 10:41:41,96.96,5.85,-0.95,-7.44
89,2021-10-09 10:41:43,97.32,6.53,-0.94,-7.29
90,2021-10-09 10:41:45,97.21,6.84,-0.95,-6.83
91,2021-10-09 10:41:47,97.25,7.45,-0.86,-6.34
92,2021-10-09 10:42:02,96.75,7.08,-0.63,-5.57
93,2021-10-09 10:42:04,96.75,7.81,-1.16,-6.06
94,2021-10-09 10:42:08,96.46,7.29,0.01,-5.42
95,2021-10-09 10:42:10,95.52,7.02,0.7,-6.07
96,2021-10-09 10:42:13,96.64,7.77,0.16,-6.45
97,2021-10-09 10:42:15,96.24,7.63,-0.14,-5.41
98,2021-10-09 10:42:16,96.78,7.68,-0.25,-5.44
99,2021-10-09 10:42:18,96.93,7.55,-0.08,-5.73
100,2021-10-09 10:42:20,96.28,7.44,-0.22,-5.66
101,2021-10-09 10:42:22,95.92,7.59,-0.17,-5.81
102,2021-10-09 10:42:24,95.95,7.47,-0.38,-5.61
103,2021-10-09 10:42:26,96.1,7.38,-0.32,-5.73
104,2021-10-09 10:42:28,96.39,7.72,-0.15,-5.75
105,2021-10-09 10:42:30,96.13,7.62,-0.39,-5.53
106,2021-10-09 10:42:32,96.49,7.58,-0.28,-5.68
107,2021-10-09 10:42:34,96.24,7.61,-0.3,-5.69
108,2021-10-09 10:42:36,96.46,7.51,-0.39,-5.55
109,2021-10-09 10:42:38,96.06,7.54,-0.14,-5.82
110,2021-10-09 10:42:40,96.06,7.42,-0.17,-5.73
111,2021-10-09 10:42:42,96.1,7.59,-0.27,-5.81
112,2021-10-09 10:42:46,95.81,7.5,-0.17,-5.66
113,2021-10-09 10:42:48,94.87,7.34,-0.25,-5.76
114,2021-10-09 10:42:50,96.1,7.33,-0.43,-5.88
115,2021-10-09 10:42:52,96.06,7.44,-0.13,-5.98
116,2021-10-09 10:42:53,96.21,7.47,-0.4,-5.93
117,2021-10-09 10:42:55,96.39,7.34,-0.34,-5.8
118,2021-10-09 10:42:57,95.67,7.36,-0.23,-6.03
119,2021-10-09 10:42:59,96.13,7.38,-0.3,-6.03
120,2021-10-09 10:43:01,96.24,7.61,-0.49,-5.25
121,2021-10-09 10:43:03,96.35,7.57,-0.45,-5.64
122,2021-10-09 10:43:05,96.49,7.61,-0.34,-5.73
123,2021-10-09 10:43:07,96.53,7.47,-0.43,-5.7
124,2021-10-09 10:43:09,96.89,7.28,-0.33,-5.74
125,2021-10-09 10:43:11,96.46,7.26,-0.37,-6.0
126,2021-10-09 10:43:12,96.35,7.31,-0.24,-6.21
127,2021-10-09 10:43:15,96.6,7.19,-0.33,-6.34
128,2021-10-09 10:43:17,96.67,6.87,-0.4,-6.04
129,2021-10-09 10:43:19,96.35,7.18,-0.45,-6.66
130,2021-10-09 10:43:20,96.6,7.31,-0.26,-6.18
131,2021-10-09 10:43:22,96.35,7.37,-0.68,-5.8
132,2021-10-09 10:43:26,96.64,7.03,-0.78,-6.24
133,2021-10-09 10:43:28,94.87,6.27,-0.63,-6.46
134,2021-10-09 10:43:30,95.95,7.01,-0.86,-7.29
135,2021-10-09 10:43:31,96.46,7.21,-0.15,-6.25
136,2021-10-09 10:43:34,96.28,6.59,0.16,-5.85
137,2021-10-09 10:43:36,95.85,5.92,0.01,-6.81
138,2021-10-09 10:43:37,95.95,5.73,-1.02,-7.34
139,2021-10-09 10:43:40,96.1,6.87,-0.66,-6.46
140,2021-10-09 10:43:41,96.67,6.58,-0.72,-6.57
141,2021-10-09 10:43:43,96.06,6.96,-0.82,-6.29
142,2021-10-09 10:43:45,96.1,6.79,-0.64,-6.57
143,2021-10-09 10:43:47,96.75,6.69,-0.96,-6.62
144,2021-10-09 10:43:49,96.39,7.01,-0.82,-6.49
145,2021-10-09 10:43:51,95.92,7.22,-1.07,-6.23
146,2021-10-09 10:43:53,95.95,7.16,-1.11,-6.07
147,2021-10-09 10:43:55,95.77,7.26,-1.15,-6.02
148,2021-10-09 10:43:56,95.34,7.32,-1.09,-6.05
149,2021-10-09 10:43:59,95.81,8.19,-1.0,-5.96
150,2021-10-09 10:44:00,95.41,6.83,0.11,-5.03
151,2021-10-09 10:44:02,95.13,6.81,0.23,-6.59
152,2021-10-09 10:44:06,96.1,6.98,0.0,-6.61
153,2021-10-09 10:44:08,95.81,6.59,-0.14,-6.35
154,2021-10-09 10:44:10,95.81,5.54,-0.68,-6.83
155,2021-10-09 10:44:11,95.49,5.73,-1.41,-7.56
156,2021-10-09 10:44:14,93.76,6.03,-1.24,-7.65
157,2021-10-09 10:44:16,95.56,7.36,-1.09,-7.21
158,2021-10-09 10:44:18,95.34,6.91,-1.16,-5.85
159,2021-10-09 10:44:20,95.63,7.39,-1.54,-6.51
160,2021-10-09 10:44:22,96.49,7.71,-1.44,-5.62
161,2021-10-09 10:44:23,96.28,6.95,-0.59,-5.93
162,2021-10-09 10:44:25,95.92,6.41,-1.07,-6.57
163,2021-10-09 10:44:27,96.49,6.47,-0.94,-6.86
164,2021-10-09 10:44:29,96.67,6.25,-0.99,-6.9
165,2021-10-09 10:44:31,96.39,5.84,-0.88,-7.25
166,2021-10-09 10:44:33,95.49,5.6,-1.15,-7.48
167,2021-10-09 10:44:35,96.1,5.54,-1.02,-7.59
168,2021-10-09 10:44:36,96.35,5.63,-1.1,-7.64
169,2021-10-09 10:44:38,96.21,5.65,-0.96,-7.55
170,2021-10-09 10:44:40,96.46,5.61,-0.94,-7.52
171,2021-10-09 10:44:42,96.89,5.24,-1.04,-7.5
172,2021-10-09 10:44:46,96.82,5.28,-1.09,-7.82
173,2021-10-09 10:44:47,96.75,5.43,-1.05,-7.86
174,2021-10-09 10:44:49,96.75,5.37,-1.13,-7.81
175,2021-10-09 10:44:51,96.64,5.4,-1.08,-7.85
176,2021-10-09 10:44:53,96.49,5.39,-1.09,-7.7
177,2021-10-09 10:44:55,96.64,5.67,-1.3,-7.45
178,2021-10-09 10:44:57,96.82,6.91,-1.09,-7.5
179,2021-10-09 10:44:59,95.23,7.07,-1.1,-6.34
180,2021-10-09 10:45:00,96.1,6.94,-1.13,-6.26
181,2021-10-09 10:45:04,96.78,6.88,-1.12,-6.38
182,2021-10-09 10:45:06,96.64,6.93,-0.93,-6.44
183,2021-10-09 10:45:08,95.99,6.84,-0.91,-6.37
184,2021-10-09 10:45:10,95.77,7.12,-0.99,-6.26
185,2021-10-09 10:45:11,95.34,6.95,-0.79,-6.47
186,2021-10-09 10:45:13,96.1,6.97,-1.0,-6.45
187,2021-10-09 10:45:16,96.64,7.05,-0.97,-6.3
188,2021-10-09 10:45:18,96.64,6.97,-0.76,-6.27
189,2021-10-09 10:45:19,96.78,6.95,-0.98,-6.35
190,2021-10-09 10:45:21,96.64,7.02,-1.13,-6.36
191,2021-10-09 10:45:24,96.75,7.26,-0.89,-6.29
192,2021-10-09 10:45:26,97.18,7.05,-1.11,-6.11
193,2021-10-09 10:45:28,96.82,5.73,-1.14,-6.14
194,2021-10-09 10:45:29,96.89,6.1,-1.24,-7.53
195,2021-10-09 10:45:31,97.32,6.06,-0.98,-7.3
196,2021-10-09 10:45:33,96.89,5.66,-1.08,-7.22
197,2021-10-09 10:45:35,96.93,5.47,-1.21,-7.46
198,2021-10-09 10:45:37,96.64,5.58,-1.15,-7.79
199,2021-10-09 10:45:39,94.73,5.5,-1.19,-7.55
200,2021-10-09 10:45:41,94.3,5.08,-1.04,-7.58
201,2021-10-09 10:45:45,96.24,5.46,-1.28,-8.02
202,2021-10-09 10:45:46,95.85,5.52,-1.2,-7.76
203,2021-10-09 10:45:48,95.02,5.48,-1.12,-7.7
204,2021-10-09 10:45:50,95.99,6.23,-1.08,-7.59
205,2021-10-09 10:45:52,96.39,7.29,-1.21,-7.14
206,2021-10-09 10:45:54,95.23,6.46,-0.98,-5.93
207,2021-10-09 10:45:56,94.44,8.36,-0.98,-6.89
208,2021-10-09 10:45:58,95.09,6.75,-2.99,-4.38
209,2021-10-09 10:46:00,95.49,6.76,-1.57,-6.45
210,2021-10-09 10:46:02,95.81,6.75,-1.43,-6.47
211,2021-10-09 10:46:04,94.66,5.62,-1.59,-6.5
212,2021-10-09 10:46:15,95.77,6.01,-1.85,-7.22
213,2021-10-09 10:46:17,96.28,6.02,-1.42,-7.2
214,2021-10-09 10:46:19,95.95,7.27,-1.46,-7.17
215,2021-10-09 10:46:21,96.6,6.83,-1.16,-5.23
216,2021-10-09 10:46:24,95.67,6.88,-1.65,-6.35
217,2021-10-09 10:46:25,95.23,6.78,-1.7,-6.4
218,2021-10-09 10:46:28,95.09,6.8,-1.7,-6.44
219,2021-10-09 10:46:30,94.69,6.7,-1.62,-6.39
220,2021-10-09 10:46:32,94.98,6.71,-1.56,-6.56
221,2021-10-09 10:46:37,95.7,6.76,-1.48,-6.46
222,2021-10-09 10:46:39,95.63,6.64,-1.58,-6.48
223,2021-10-09 10:46:41,95.7,6.68,-1.76,-6.05
224,2021-10-09 10:46:43,95.23,6.44,-1.71,-6.49
225,2021-10-09 10:46:45,96.46,6.56,-1.65,-6.83
226,2021-10-09 10:46:47,95.85,6.59,-1.67,-6.6
227,2021-10-09 10:46:49,95.7,6.69,-1.55,-6.5
228,2021-10-09 10:46:51,96.96,6.58,-1.76,-6.62
229,2021-10-09 10:46:53,96.89,7.83,-1.58,-6.57
230,2021-10-09 10:46:55,96.6,7.18,-0.68,-4.73
231,2021-10-09 10:46:57,95.38,7.05,0.06,-5.94
232,2021-10-09 10:46:59,94.95,7.04,-0.82,-6.56
233,2021-10-09 10:47:01,94.19,6.1,0.03,-6.4
234,2021-10-09 10:47:02,94.73,6.13,-0.8,-7.22
235,2021-10-09 10:47:04,95.49,6.09,-0.9,-7.21
236,2021-10-09 10:47:06,95.99,6.03,-0.98,-7.17
237,2021-10-09 10:47:08,96.6,6.81,-1.02,-7.24
238,2021-10-09 10:47:10,95.99,7.85,-0.68,-6.7
239,2021-10-09 10:47:12,96.39,7.19,-0.52,-5.15
240,2021-10-09 10:47:14,95.63,7.13,0.19,-6.11
241,2021-10-09 10:47:18,94.01,5.43,1.92,-5.98
242,2021-10-09 10:47:20,94.87,5.24,3.86,-6.9
243,2021-10-09 10:47:22,94.73,6.36,2.58,-8.02
244,2021-10-09 10:47:24,95.52,4.85,0.05,-7.27
245,2021-10-09 10:47:26,95.02,5.07,2.73,-7.77
246,2021-10-09 10:47:28,95.49,4.47,3.36,-8.17
247,2021-10-09 10:47:29,95.81,5.42,1.31,-7.8
248,2021-10-09 10:47:31,95.23,5.4,-0.17,-7.53
249,2021-10-09 10:47:33,94.44,6.05,-1.64,-8.6
250,2021-10-09 10:47:35,94.84,6.08,1.68,-7.47
251,2021-10-09 10:47:37,95.27,6.05,-0.17,-6.36
252,2021-10-09 10:47:39,95.7,6.8,-0.19,-7.08
253,2021-10-09 10:47:41,95.23,7.04,0.46,-7.06
254,2021-10-09 10:47:43,95.23,6.6,-0.28,-6.48
255,2021-10-09 10:47:45,94.73,7.24,0.53,-7.06
256,2021-10-09 10:47:47,94.73,6.97,-0.03,-6.22
257,2021-10-09 10:47:48,95.16,6.33,0.78,-6.44
258,2021-10-09 10:47:50,94.66,8.21,0.92,-6.95
259,2021-10-09 10:47:52,94.69,6.42,1.9,-4.97
260,2021-10-09 10:47:54,95.02,5.46,0.26,-7.2
261,2021-10-09 10:47:57,94.44,3.26,0.56,-7.68
262,2021-10-09 10:48:00,94.55,4.83,1.15,-9.43
263,2021-10-09 10:48:04,94.98,4.26,1.31,-8.68
264,2021-10-09 10:48:06,95.49,4.02,0.16,-8.49
265,2021-10-09 10:48:08,95.02,5.69,-0.14,-9.0
266,2021-10-09 10:48:10,94.69,3.72,1.37,-8.23
267,2021-10-09 10:48:12,95.49,4.27,0.93,-8.87
268,2021-10-09 10:48:14,95.77,4.07,0.91,-8.34
269,2021-10-09 10:48:16,94.69,3.05,0.18,-9.39
270,2021-10-09 10:48:19,94.84,5.38,0.45,-8.93
271,2021-10-09 10:48:21,95.09,3.02,0.86,-7.22
272,2021-10-09 10:48:23,95.49,3.89,1.58,-9.33
273,2021-10-09 10:48:25,94.98,3.94,-0.02,-7.36
274,2021-10-09 10:48:27,95.09,3.88,0.95,-7.82
275,2021-10-09 10:48:29,95.23,5.62,0.69,-8.98
276,2021-10-09 10:48:30,95.23,3.29,0.04,-7.61
277,2021-10-09 10:48:32,94.98,3.18,-1.19,-9.59
278,2021-10-09 10:48:34,94.33,3.28,-1.38,-9.4
279,2021-10-09 10:48:36,94.01,3.7,0.14,-8.48
280,2021-10-09 10:48:38,94.44,4.71,0.48,-8.58
281,2021-10-09 10:48:40,94.66,5.74,0.17,-8.23
282,2021-10-09 10:48:42,94.87,7.0,0.13,-6.76
283,2021-10-09 10:48:46,95.38,7.11,-0.47,-6.41
284,2021-10-09 10:48:47,95.52,4.24,0.03,-6.4
285,2021-10-09 10:48:49,94.55,4.49,-0.42,-8.41
286,2021-10-09 10:48:51,94.55,6.07,1.66,-8.94
287,2021-10-09 10:48:53,94.98,4.15,0.47,-8.14
288,2021-10-09 10:48:55,94.69,3.01,1.48,-8.34
289,2021-10-09 10:48:58,94.87,3.44,0.65,-9.92
290,2021-10-09 10:49:01,94.41,4.78,0.71,-9.64
291,2021-10-09 10:49:04,94.19,4.41,0.45,-8.95
292,2021-10-09 10:49:06,94.73,3.69,1.28,-8.78
293,2021-10-09 10:49:08,94.87,5.95,1.14,-8.74
294,2021-10-09 10:49:10,95.7,4.5,1.13,-7.64
295,2021-10-09 10:49:12,94.8,2.95,-0.05,-8.0
296,2021-10-09 10:49:14,95.52,5.09,0.23,-9.44
297,2021-10-09 10:49:16,95.23,5.77,-0.49,-8.53
298,2021-10-09 10:49:18,94.98,4.67,0.27,-6.81
299,2021-10-09 10:49:20,94.95,1.77,1.91,-9.63
300,2021-10-09 10:49:22,94.59,5.24,-0.29,-9.24
301,2021-10-09 10:49:24,95.49,4.6,0.31,-9.29
302,2021-10-09 10:49:26,95.63,4.86,0.51,-8.27
303,2021-10-09 10:49:30,95.13,5.77,1.59,-8.17
304,2021-10-09 10:49:31,95.52,6.07,-0.7,-7.69
305,2021-10-09 10:49:33,95.13,7.43,-0.79,-7.26
306,2021-10-09 10:49:35,95.56,6.36,-1.43,-5.67
307,2021-10-09 10:49:38,95.81,6.52,-1.0,-6.93
308,2021-10-09 10:49:40,95.99,6.81,-1.08,-6.8
309,2021-10-09 10:49:42,95.85,6.8,-1.6,-6.46
310,2021-10-09 10:49:44,95.92,6.74,-1.08,-6.52
311,2021-10-09 10:49:48,96.13,6.82,-1.24,-6.54
312,2021-10-09 10:49:52,96.35,6.45,-1.15,-6.43
313,2021-10-09 10:49:56,95.23,4.94,-0.45,-6.58
314,2021-10-09 10:49:59,95.56,4.98,0.69,-9.29
315,2021-10-09 10:50:00,95.09,2.46,-0.69,-8.82
316,2021-10-09 10:50:02,94.98,3.64,0.06,-9.41
317,2021-10-09 10:50:04,94.48,0.69,1.97,-8.7
318,2021-10-09 10:50:06,94.73,4.22,0.87,-9.45
319,2021-10-09 10:50:08,94.69,3.08,0.33,-10.08
320,2021-10-09 10:50:10,94.59,3.2,0.39,-9.53
321,2021-10-09 10:50:12,94.95,3.09,0.3,-9.32
322,2021-10-09 10:50:16,95.02,4.98,1.25,-8.98
323,2021-10-09 10:50:18,94.59,4.0,1.99,-8.49
324,2021-10-09 10:50:20,94.48,5.3,-0.34,-8.4
325,2021-10-09 10:50:22,94.41,2.95,1.24,-8.32
326,2021-10-09 10:50:23,94.8,4.3,1.49,-9.27
327,2021-10-09 10:50:25,94.84,4.48,0.82,-9.53
328,2021-10-09 10:50:27,95.38,6.75,0.42,-8.26
329,2021-10-09 10:50:29,95.56,6.56,-1.75,-6.21
330,2021-10-09 10:50:31,95.7,6.27,-0.98,-6.74
331,2021-10-09 10:50:33,94.87,5.46,-0.51,-6.87
332,2021-10-09 10:50:35,94.66,5.95,-0.35,-8.2
333,2021-10-09 10:50:38,95.09,5.92,0.11,-6.93
334,2021-10-09 10:50:40,95.27,6.67,0.12,-7.24
335,2021-10-09 10:50:42,94.95,5.11,0.25,-6.98
336,2021-10-09 10:50:43,95.41,5.06,0.42,-7.77
337,2021-10-09 10:50:45,94.84,5.52,0.51,-7.7
338,2021-10-09 10:50:47,94.8,4.39,0.75,-8.23
339,2021-10-09 10:50:49,94.59,4.16,1.14,-7.92
340,2021-10-09 10:50:51,94.73,3.99,1.88,-8.15
341,2021-10-09 10:50:53,94.48,3.41,1.89,-8.75
342,2021-10-09 10:50:57,94.59,4.59,1.09,-7.77
343,2021-10-09 10:50:59,94.87,5.06,1.27,-8.26
344,2021-10-09 10:51:01,95.13,3.54,0.88,-8.02
345,2021-10-09 10:51:04,95.02,4.28,0.22,-7.83
346,2021-10-09 10:51:06,95.27,5.95,1.19,-8.44
347,2021-10-09 10:51:08,95.23,6.84,0.29,-7.13
348,2021-10-09 10:51:10,95.23,6.99,-0.85,-6.31
349,2021-10-09 10:51:12,95.56,6.4,-0.6,-6.38
350,2021-10-09 10:51:14,95.41,4.76,-0.92,-6.9
351,2021-10-09 10:51:16,94.98,5.58,-0.68,-8.09
352,2021-10-09 10:51:18,95.63,6.34,0.5,-7.53
353,2021-10-09 10:51:20,95.27,7.53,0.97,-8.47
354,2021-10-09 10:51:23,94.8,6.73,0.98,-5.96
355,2021-10-09 10:51:25,95.09,4.96,1.17,-6.11
356,2021-10-09 10:51:26,94.59,6.13,1.93,-8.1
357,2021-10-09 10:51:28,94.98,5.84,1.31,-7.4
358,2021-10-09 10:51:30,94.73,4.76,1.69,-8.04
359,2021-10-09 10:51:33,95.27,5.84,2.14,-8.19
360,2021-10-09 10:51:35,94.95,5.6,1.59,-7.25
361,2021-10-09 10:51:37,95.09,4.35,0.69,-7.77
362,2021-10-09 10:51:41,95.34,4.46,0.29,-8.04
363,2021-10-09 10:51:43,95.16,4.15,1.06,-8.69
364,2021-10-09 10:51:47,95.09,5.37,0.33,-8.54
365,2021-10-09 10:51:49,94.73,6.0,1.57,-7.85
366,2021-10-09 10:51:51,95.34,6.68,0.75,-8.09
367,2021-10-09 10:51:53,95.63,6.8,-1.2,-6.52
368,2021-10-09 10:51:54,95.67,5.66,-1.01,-6.45
369,2021-10-09 10:51:56,95.13,7.02,1.42,-7.76
370,2021-10-09 10:51:58,94.98,2.78,-0.72,-7.55
371,2021-10-09 10:52:00,94.59,6.06,0.97,-8.88
372,2021-10-09 10:52:02,95.38,7.07,0.68,-6.69
373,2021-10-09 10:52:04,95.49,5.84,-0.57,-6.4
374,2021-10-09 10:52:06,95.49,5.34,-0.38,-7.52
375,2021-10-09 10:52:08,95.77,6.34,-0.42,-8.0
376,2021-10-09 10:52:10,94.95,7.8,0.96,-7.37
377,2021-10-09 10:52:12,95.02,6.58,0.2,-4.88
378,2021-10-09 10:52:13,94.95,7.26,0.28,-6.22
379,2021-10-09 10:52:15,94.95,4.46,0.01,-6.64
380,2021-10-09 10:52:17,94.8,3.62,-0.33,-9.0
381,2021-10-09 10:52:19,94.26,4.62,-1.27,-7.47
382,2021-10-09 10:52:21,94.48,4.27,0.15,-8.04
383,2021-10-09 10:52:23,95.02,5.02,1.57,-8.62
384,2021-10-09 10:52:27,95.38,3.0,0.63,-7.82
385,2021-10-09 10:52:29,94.59,4.35,0.28,-8.81
386,2021-10-09 10:52:32,94.84,4.31,1.02,-8.65
387,2021-10-09 10:52:34,95.09,2.72,0.44,-8.92
388,2021-10-09 10:52:36,94.84,4.63,-0.77,-9.39
389,2021-10-09 10:52:39,95.09,3.26,-0.16,-8.49
390,2021-10-09 10:52:43,94.59,2.53,0.57,-8.84
391,2021-10-09 10:52:45,94.44,1.25,1.15,-10.18
392,2021-10-09 10:52:47,94.41,2.92,1.56,-9.62
393,2021-10-09 10:52:49,94.84,3.31,1.83,-8.83
394,2021-10-09 10:52:51,95.34,5.14,1.72,-8.85
395,2021-10-09 10:52:53,95.09,7.05,0.56,-8.2
396,2021-10-09 10:52:55,95.49,4.82,-0.11,-6.55
397,2021-10-09 10:52:57,94.95,5.12,0.9,-8.49
398,2021-10-09 10:52:59,94.84,4.85,0.6,-8.32
399,2021-10-09 10:53:01,94.98,4.47,0.69,-8.86
400,2021-10-09 10:53:02,95.13,4.48,0.66,-8.4
401,2021-10-09 10:53:04,94.69,5.04,0.31,-8.62
402,2021-10-09 10:53:06,95.34,4.31,0.56,-8.12
403,2021-10-09 10:53:10,95.41,4.3,-0.05,-8.82
404,2021-10-09 10:53:12,94.8,4.82,0.45,-8.43
405,2021-10-09 10:53:13,95.02,6.51,2.19,-8.5
406,2021-10-09 10:53:15,95.02,6.28,1.23,-6.79
407,2021-10-09 10:53:17,95.27,5.24,0.99,-6.97
408,2021-10-09 10:53:19,95.7,6.32,-0.21,-7.54
409,2021-10-09 10:53:21,95.49,6.41,1.07,-7.37
410,2021-10-09 10:53:23,94.98,5.49,1.19,-7.24
411,2021-10-09 10:53:26,95.16,5.52,2.4,-7.96
412,2021-10-09 10:53:28,94.98,4.91,1.26,-7.42
413,2021-10-09 10:53:31,94.33,4.27,1.96,-8.29
414,2021-10-09 10:53:32,94.3,5.54,2.93,-8.04
415,2021-10-09 10:53:34,95.38,6.08,2.38,-7.12
416,2021-10-09 10:53:36,95.23,4.7,1.89,-6.79
417,2021-10-09 10:53:38,94.84,3.13,-0.54,-7.26
418,2021-10-09 10:53:40,94.66,2.43,2.83,-8.8
419,2021-10-09 10:53:42,93.87,0.86,3.66,-10.05
420,2021-10-09 10:53:44,93.97,2.83,2.46,-9.25
421,2021-10-09 10:53:46,94.95,3.51,2.73,-8.63
422,2021-10-09 10:53:50,94.84,4.54,2.93,-9.4
423,2021-10-09 10:53:54,95.09,3.7,4.44,-8.6
424,2021-10-09 10:53:56,95.16,4.68,3.44,-9.31
425,2021-10-09 10:53:57,95.34,4.26,1.9,-8.19
426,2021-10-09 10:53:59,94.73,1.49,2.35,-8.29
