date,time,temperature,x_axix,y_axix,z_axix,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
10/09/2021,10:42:42 AM,96.1,7.59,-0.27,-5.81,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:42:46 AM,95.81,7.5,-0.17,-5.66,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:42:48 AM,94.87,7.34,-0.25,-5.76,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:42:50 AM,96.1,7.33,-0.43,-5.88,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:42:52 AM,96.06,7.44,-0.13,-5.98,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:42:53 AM,96.21,7.47,-0.4,-5.93,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:42:55 AM,96.39,7.34,-0.34,-5.8,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:42:57 AM,95.67,7.36,-0.23,-6.03,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:42:59 AM,96.13,7.38,-0.3,-6.03,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:43:01 AM,96.24,7.61,-0.49,-5.25,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:43:03 AM,96.35,7.57,-0.45,-5.64,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:43:05 AM,96.49,7.61,-0.34,-5.73,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:43:07 AM,96.53,7.47,-0.43,-5.7,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:43:09 AM,96.89,7.28,-0.33,-5.74,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:43:11 AM,96.46,7.26,-0.37,-6.0,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:43:12 AM,96.35,7.31,-0.24,-6.21,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:43:15 AM,96.6,7.19,-0.33,-6.34,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:43:17 AM,96.67,6.87,-0.4,-6.04,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:43:19 AM,96.35,7.18,-0.45,-6.66,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:43:20 AM,96.6,7.31,-0.26,-6.18,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:43:22 AM,96.35,7.37,-0.68,-5.8,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:43:26 AM,96.64,7.03,-0.78,-6.24,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:43:28 AM,94.87,6.27,-0.63,-6.46,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:43:30 AM,95.95,7.01,-0.86,-7.29,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:43:31 AM,96.46,7.21,-0.15,-6.25,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:43:34 AM,96.28,6.59,0.16,-5.85,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:43:36 AM,95.85,5.92,0.01,-6.81,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:43:37 AM,95.95,5.73,-1.02,-7.34,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:43:40 AM,96.1,6.87,-0.66,-6.46,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:43:41 AM,96.67,6.58,-0.72,-6.57,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:43:43 AM,96.06,6.96,-0.82,-6.29,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:43:45 AM,96.1,6.79,-0.64,-6.57,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:43:47 AM,96.75,6.69,-0.96,-6.62,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:43:49 AM,96.39,7.01,-0.82,-6.49,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:43:51 AM,95.92,7.22,-1.07,-6.23,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:43:53 AM,95.95,7.16,-1.11,-6.07,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:43:55 AM,95.77,7.26,-1.15,-6.02,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:43:56 AM,95.34,7.32,-1.09,-6.05,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:43:59 AM,95.81,8.19,-1.0,-5.96,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:44:00 AM,95.41,6.83,0.11,-5.03,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:44:02 AM,95.13,6.81,0.23,-6.59,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:44:06 AM,96.1,6.98,0.0,-6.61,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:44:08 AM,95.81,6.59,-0.14,-6.35,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:44:10 AM,95.81,5.54,-0.68,-6.83,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:44:11 AM,95.49,5.73,-1.41,-7.56,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:44:14 AM,93.76,6.03,-1.24,-7.65,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:44:16 AM,95.56,7.36,-1.09,-7.21,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:44:18 AM,95.34,6.91,-1.16,-5.85,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:44:20 AM,95.63,7.39,-1.54,-6.51,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:44:22 AM,96.49,7.71,-1.44,-5.62,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:44:23 AM,96.28,6.95,-0.59,-5.93,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:44:25 AM,95.92,6.41,-1.07,-6.57,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:44:27 AM,96.49,6.47,-0.94,-6.86,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:44:29 AM,96.67,6.25,-0.99,-6.9,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:44:31 AM,96.39,5.84,-0.88,-7.25,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:44:33 AM,95.49,5.6,-1.15,-7.48,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:44:35 AM,96.1,5.54,-1.02,-7.59,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:44:36 AM,96.35,5.63,-1.1,-7.64,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:44:38 AM,96.21,5.65,-0.96,-7.55,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:44:40 AM,96.46,5.61,-0.94,-7.52,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:44:42 AM,96.89,5.24,-1.04,-7.5,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:44:46 AM,96.82,5.28,-1.09,-7.82,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:44:47 AM,96.75,5.43,-1.05,-7.86,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:44:49 AM,96.75,5.37,-1.13,-7.81,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:44:51 AM,96.64,5.4,-1.08,-7.85,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:44:53 AM,96.49,5.39,-1.09,-7.7,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:44:55 AM,96.64,5.67,-1.3,-7.45,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:44:57 AM,96.82,6.91,-1.09,-7.5,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:44:59 AM,95.23,7.07,-1.1,-6.34,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:45:00 AM,96.1,6.94,-1.13,-6.26,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:45:04 AM,96.78,6.88,-1.12,-6.38,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:45:06 AM,96.64,6.93,-0.93,-6.44,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:45:08 AM,95.99,6.84,-0.91,-6.37,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:45:10 AM,95.77,7.12,-0.99,-6.26,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:45:11 AM,95.34,6.95,-0.79,-6.47,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:45:13 AM,96.1,6.97,-1.0,-6.45,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:45:16 AM,96.64,7.05,-0.97,-6.3,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:45:18 AM,96.64,6.97,-0.76,-6.27,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:45:19 AM,96.78,6.95,-0.98,-6.35,,,,,,,,,,,,,,,,,,,,,
10/09/2021,10:45:21 AM,96.64,7.02,-1.13,-6.36,,,,,,,,,,,,,,,,,,,,,
